segment_id,wellbore_chev_no_id,area_id,formation_id,bit_model_id,drillbit_size,min_depth,max_depth,rate_of_penetration,surface_weight_on_bit,surface_rpm
wellbore_chev_no_0_784,wellbore_chev_no_0,area_0,formation_82,bit_model_1,12.25,23520,23549.5,75.27378527,37.52157523,150.2561658
wellbore_chev_no_0_785,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23550,23579.5,72.16557922,37.31654482,150.1796656
wellbore_chev_no_0_786,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23580,23609.5,75.77621117,44.62266452,149.9260005
wellbore_chev_no_0_787,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23610,23639.5,70.44967264,44.07077338,149.717499
wellbore_chev_no_0_788,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23640,23669.5,69.23517183,27.02352918,149.6644992
wellbore_chev_no_0_789,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23670,23699.5,70.12941405,21.84854514,150.0151657
wellbore_chev_no_0_790,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23700,23729.5,71.4793932,20.81457713,150.3918348
wellbore_chev_no_0_791,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23730,23759.5,72.02198575,24.45514364,150.3111661
wellbore_chev_no_0_792,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23760,23789.5,55.77551384,28.50136142,150.2973343
wellbore_chev_no_0_793,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23790,23819.5,49.64148547,22.96445182,149.8124992
wellbore_chev_no_0_794,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23820,23849.5,52.12929688,20.11093537,149.8538328
wellbore_chev_no_0_795,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23850,23879.5,52.20567271,22.42064501,149.8313324
wellbore_chev_no_0_796,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23880,23909.5,52.53409125,26.21810687,149.7620003
wellbore_chev_no_0_797,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23910,23939.5,51.57646675,26.30923106,149.8685
wellbore_chev_no_0_798,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23940,23969.5,50.19253972,12.42304866,150.5853338
wellbore_chev_no_0_799,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,23970,23999.5,60.771116,20.42656301,150.6211675
wellbore_chev_no_0_800,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,24000,24029.5,62.09781202,20.16421288,150.5798342
wellbore_chev_no_0_801,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,24030,24059.5,62.02544835,22.13110345,150.6081662
wellbore_chev_no_0_802,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,24060,24089.5,57.64223361,21.73010606,149.7369496
wellbore_chev_no_0_803,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,24090,24119.5,62.31779817,23.42779067,149.1644992
wellbore_chev_no_0_804,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,24120,24149.5,62.25322463,24.93317957,149.1741656
wellbore_chev_no_0_805,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,24150,24179.5,61.97749151,25.83817685,149.1616666
wellbore_chev_no_0_806,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,24180,24209.5,57.04624166,28.50687232,149.2959999
wellbore_chev_no_0_807,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,24210,24239.5,61.07909187,18.97261446,150.1675001
wellbore_chev_no_0_808,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,24240,24269.5,62.27735494,22.69401811,150.167333
wellbore_chev_no_0_809,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,24270,24299.5,62.07260844,21.61816206,150.1426659
wellbore_chev_no_0_810,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,24300,24329.5,62.01992137,24.35189346,150.1295003
wellbore_chev_no_0_811,wellbore_chev_no_0,area_0,formation_81,bit_model_1,12.25,24330,24359.5,57.38670012,22.33172517,150.1098328
wellbore_chev_no_0_812,wellbore_chev_no_0,area_0,formation_90,bit_model_1,12.25,24360,24389.5,59.38821824,22.94607892,150.1401665
wellbore_chev_no_0_813,wellbore_chev_no_0,area_0,formation_90,bit_model_1,12.25,24390,24419.5,62.22859402,20.92223678,150.1954994
wellbore_chev_no_0_814,wellbore_chev_no_0,area_0,formation_89,bit_model_1,12.25,24420,24449.5,61.17412357,27.28293943,150.2021657
wellbore_chev_no_0_815,wellbore_chev_no_0,area_0,formation_89,bit_model_1,12.25,24450,24479.5,58.32953097,29.54341318,150.1561663
wellbore_chev_no_0_816,wellbore_chev_no_0,area_0,formation_92,bit_model_1,12.25,24480,24509.5,59.25802625,14.60121571,149.9133321
wellbore_chev_no_0_817,wellbore_chev_no_0,area_0,formation_92,bit_model_1,12.25,24510,24539.5,61.5859333,15.86997598,149.9716667
wellbore_chev_no_0_818,wellbore_chev_no_0,area_0,formation_91,bit_model_1,12.25,24540,24569.5,61.42844156,25.12681896,149.9464989
wellbore_chev_no_0_819,wellbore_chev_no_0,area_0,formation_91,bit_model_1,12.25,24570,24599.5,60.54298606,23.90627423,150.2288881
wellbore_chev_no_0_820,wellbore_chev_no_0,area_0,formation_91,bit_model_1,12.25,24600,24629.5,58.80316652,23.91684844,150.2283328
wellbore_chev_no_0_821,wellbore_chev_no_0,area_0,formation_91,bit_model_1,12.25,24630,24659.5,61.57042217,24.25195109,150.165667
wellbore_chev_no_0_822,wellbore_chev_no_0,area_0,formation_91,bit_model_1,12.25,24660,24689.5,61.52200546,27.00956605,150.1376656
wellbore_chev_no_0_823,wellbore_chev_no_0,area_0,formation_91,bit_model_1,12.25,24690,24719.5,61.34315319,32.44984029,150.1773326
wellbore_chev_no_0_824,wellbore_chev_no_0,area_0,formation_91,bit_model_1,12.25,24720,24749.5,58.89352697,28.95147147,150.4298345
wellbore_chev_no_0_825,wellbore_chev_no_0,area_0,formation_91,bit_model_1,12.25,24750,24779.5,62.93360933,21.98229211,150.9994993
wellbore_chev_no_0_826,wellbore_chev_no_0,area_0,formation_91,bit_model_1,12.25,24780,24809.5,59.90338421,26.02079388,150.9839996
wellbore_chev_no_0_827,wellbore_chev_no_0,area_0,formation_91,bit_model_1,12.25,24810,24820.5,61.47154184,26.73104832,150.9963622
wellbore_chev_no_1_833,wellbore_chev_no_1,area_0,formation_228,bit_model_24,12.25,25002,25019.75,29.59763879,36.40069434,129.5972222
wellbore_chev_no_1_834,wellbore_chev_no_1,area_0,formation_229,bit_model_24,12.25,25020,25049.75,38.05233332,42.80541674,136.0833333
wellbore_chev_no_1_835,wellbore_chev_no_1,area_0,formation_229,bit_model_24,12.25,25050,25079.75,54.68361334,46.94638645,155.2521008
wellbore_chev_no_1_836,wellbore_chev_no_1,area_0,formation_58,bit_model_24,12.25,25080,25109.75,50.37491651,42.13241673,154.425
wellbore_chev_no_1_837,wellbore_chev_no_1,area_0,formation_56,bit_model_24,12.25,25110,25139.75,58.92475017,45.44258334,155.3416667
wellbore_chev_no_1_838,wellbore_chev_no_1,area_0,formation_56,bit_model_24,12.25,25140,25169.75,55.88500004,44.08600006,155.375
wellbore_chev_no_1_839,wellbore_chev_no_1,area_0,formation_230,bit_model_24,12.25,25170,25199.75,59.3483332,45.00408332,155.3583333
wellbore_chev_no_1_840,wellbore_chev_no_1,area_0,formation_230,bit_model_24,12.25,25200,25229.75,43.20966384,39.98823512,153.7478992
wellbore_chev_no_1_841,wellbore_chev_no_1,area_0,formation_230,bit_model_24,12.25,25230,25259.75,58.45375004,46.95608339,154
wellbore_chev_no_1_842,wellbore_chev_no_1,area_0,formation_62,bit_model_24,12.25,25260,25289.75,58.66250003,46.9815836,154
wellbore_chev_no_1_843,wellbore_chev_no_1,area_0,formation_59,bit_model_24,12.25,25290,25319.75,58.7365003,47.02925005,145.9416667
wellbore_chev_no_1_844,wellbore_chev_no_1,area_0,formation_65,bit_model_24,12.25,25320,25349.75,47.59394966,43.47378155,142.8319328
wellbore_chev_no_1_845,wellbore_chev_no_1,area_0,formation_65,bit_model_24,12.25,25350,25379.75,58.81175013,46.8054999,147.9166667
wellbore_chev_no_1_846,wellbore_chev_no_1,area_0,formation_63,bit_model_24,12.25,25380,25409.75,61.24325008,44.75608327,148
wellbore_chev_no_1_847,wellbore_chev_no_1,area_0,formation_63,bit_model_24,12.25,25410,25439.75,59.56050008,45.98458344,148
wellbore_chev_no_1_848,wellbore_chev_no_1,area_0,formation_63,bit_model_24,12.25,25440,25469.75,56.51747904,46.21428571,148.4705882
wellbore_chev_no_1_849,wellbore_chev_no_1,area_0,formation_63,bit_model_24,12.25,25470,25499.75,58.00422676,45.43329884,150
wellbore_chev_no_1_850,wellbore_chev_no_1,area_0,formation_63,bit_model_22,10.625,25500,25529.75,59.5773109,48.19865544,149.6218487
wellbore_chev_no_1_851,wellbore_chev_no_1,area_0,formation_63,bit_model_22,10.625,25530,25559.75,57.95158342,50.17383318,150
wellbore_chev_no_1_852,wellbore_chev_no_1,area_0,formation_63,bit_model_22,10.625,25560,25589.75,63.73341691,48.39000003,150
wellbore_chev_no_1_853,wellbore_chev_no_1,area_0,formation_63,bit_model_22,10.625,25590,25619.75,55.17840333,47.09722689,148.9915966
wellbore_chev_no_1_854,wellbore_chev_no_1,area_0,formation_63,bit_model_22,10.625,25620,25649.75,66.63600028,51.63399992,150
wellbore_chev_no_1_855,wellbore_chev_no_1,area_0,formation_63,bit_model_22,10.625,25650,25679.75,64.29450045,52.06900002,146.7166667
wellbore_chev_no_1_856,wellbore_chev_no_1,area_0,formation_63,bit_model_22,10.625,25680,25709.75,47.94233324,48.32233332,146.8916667
wellbore_chev_no_1_857,wellbore_chev_no_1,area_0,formation_63,bit_model_22,10.625,25710,25739.75,55.04756293,45.53857146,143.487395
wellbore_chev_no_1_858,wellbore_chev_no_1,area_0,formation_63,bit_model_22,10.625,25740,25769.75,51.89375013,38.35408334,147.6583333
wellbore_chev_no_1_859,wellbore_chev_no_1,area_0,formation_63,bit_model_22,10.625,25770,25799.75,46.91016658,34.33491648,134.9666667
wellbore_chev_no_1_860,wellbore_chev_no_1,area_0,formation_63,bit_model_22,10.625,25800,25829.75,63.78991667,41.72183326,156.0833333
wellbore_chev_no_1_861,wellbore_chev_no_1,area_0,formation_233,bit_model_22,10.625,25830,25859.75,65.62700017,47.12249988,159.7833333
wellbore_chev_no_1_862,wellbore_chev_no_1,area_0,formation_233,bit_model_22,10.625,25860,25889.75,74.98216667,46.14924987,157.9416667
wellbore_chev_no_1_863,wellbore_chev_no_1,area_0,formation_233,bit_model_22,10.625,25890,25919.75,64.69449991,49.81900037,161
wellbore_chev_no_1_864,wellbore_chev_no_1,area_0,formation_233,bit_model_22,10.625,25920,25949.75,62.44516673,46.65391668,161
wellbore_chev_no_1_865,wellbore_chev_no_1,area_0,formation_233,bit_model_22,10.625,25950,25979.75,56.88957972,42.32336134,153.3613445
wellbore_chev_no_1_866,wellbore_chev_no_1,area_0,formation_233,bit_model_22,10.625,25980,26009.75,75.10733331,43.43391666,161
wellbore_chev_no_1_867,wellbore_chev_no_1,area_0,formation_233,bit_model_22,10.625,26010,26039.75,71.44183346,43.24441675,159.4083333
wellbore_chev_no_1_868,wellbore_chev_no_1,area_0,formation_233,bit_model_22,10.625,26040,26069.75,70.19150006,41.86966674,159.8333333
wellbore_chev_no_1_869,wellbore_chev_no_1,area_0,formation_234,bit_model_22,10.625,26070,26099.75,53.37226887,44.93159671,152.1932773
wellbore_chev_no_1_870,wellbore_chev_no_1,area_0,formation_234,bit_model_22,10.625,26100,26129.75,47.98228807,43.16262709,139.5932203
wellbore_chev_no_1_871,wellbore_chev_no_1,area_0,formation_234,bit_model_22,10.625,26130,26159.75,45.12858343,41.59458335,140
wellbore_chev_no_1_872,wellbore_chev_no_1,area_0,formation_71,bit_model_22,10.625,26160,26189.75,42.46025006,41.4825833,140
wellbore_chev_no_1_873,wellbore_chev_no_1,area_0,formation_69,bit_model_22,10.625,26190,26219.75,42.97016662,44.80033328,140
wellbore_chev_no_1_874,wellbore_chev_no_1,area_0,formation_68,bit_model_22,10.625,26220,26249.75,43.57581186,36.90897425,139.8461538
wellbore_chev_no_1_875,wellbore_chev_no_1,area_0,formation_67,bit_model_22,10.625,26250,26279.75,48.47408355,35.71441676,140
wellbore_chev_no_1_876,wellbore_chev_no_1,area_0,formation_67,bit_model_22,10.625,26280,26309.75,47.77550859,36.73516945,139.3050847
wellbore_chev_no_1_877,wellbore_chev_no_1,area_0,formation_67,bit_model_22,10.625,26310,26339.75,49.17433348,35.63183343,152.6916667
wellbore_chev_no_1_878,wellbore_chev_no_1,area_0,formation_67,bit_model_22,10.625,26340,26369.75,42.45216676,37.68666665,160.1916667
wellbore_chev_no_1_879,wellbore_chev_no_1,area_0,formation_67,bit_model_22,10.625,26370,26399.75,39.97119656,39.54051297,158.2136752
wellbore_chev_no_1_880,wellbore_chev_no_1,area_0,formation_75,bit_model_22,10.625,26400,26429.75,42.37285701,40.15319312,158.4117647
wellbore_chev_no_1_881,wellbore_chev_no_1,area_0,formation_74,bit_model_22,10.625,26430,26459.75,43.35566651,44.85291675,147.6666667
wellbore_chev_no_1_882,wellbore_chev_no_1,area_0,formation_74,bit_model_22,10.625,26460,26489.75,41.9769749,49.48235286,130.8235294
wellbore_chev_no_1_883,wellbore_chev_no_1,area_0,formation_73,bit_model_22,10.625,26490,26519.75,40.80916683,50.6665003,137.2833333
wellbore_chev_no_1_884,wellbore_chev_no_1,area_0,formation_77,bit_model_22,10.625,26520,26549.75,39.04124993,48.86008333,142.65
wellbore_chev_no_1_885,wellbore_chev_no_1,area_0,formation_76,bit_model_22,10.625,26550,26579.75,42.87466666,52.57841667,145.0083333
wellbore_chev_no_1_886,wellbore_chev_no_1,area_0,formation_76,bit_model_22,10.625,26580,26609.75,41.54658314,50.15808312,141.6916667
wellbore_chev_no_1_887,wellbore_chev_no_1,area_0,formation_76,bit_model_22,10.625,26610,26639.75,33.12983194,51.48714294,137.697479
wellbore_chev_no_1_888,wellbore_chev_no_1,area_0,formation_76,bit_model_22,10.625,26640,26669.75,36.69291668,53.74749997,138.2
wellbore_chev_no_1_889,wellbore_chev_no_1,area_0,formation_76,bit_model_22,10.625,26670,26699.75,38.77166656,53.74308335,140
wellbore_chev_no_1_890,wellbore_chev_no_1,area_0,formation_76,bit_model_22,10.625,26700,26729.75,39.29840325,50.31546221,141.6890756
wellbore_chev_no_1_891,wellbore_chev_no_1,area_0,formation_76,bit_model_22,10.625,26730,26759.75,40.72789923,48.19268914,136.6722689
wellbore_chev_no_1_892,wellbore_chev_no_1,area_0,formation_76,bit_model_22,10.625,26760,26789.75,45.55386542,54.1878991,154.487395
wellbore_chev_no_1_893,wellbore_chev_no_1,area_0,formation_76,bit_model_22,10.625,26790,26800,41.79975612,54.25731705,150
wellbore_chev_no_10_843,wellbore_chev_no_10,area_0,formation_235,bit_model_27,10.625,25307,25319.5,36.96179892,25.430324,89.31346189
wellbore_chev_no_10_844,wellbore_chev_no_10,area_0,formation_235,bit_model_27,10.625,25320,25349,22.95151677,33.48859874,91.59206903
wellbore_chev_no_10_845,wellbore_chev_no_10,area_0,formation_235,bit_model_27,10.625,25351.5,25379.5,28.396193,20.891407,96.21872753
wellbore_chev_no_10_846,wellbore_chev_no_10,area_0,formation_235,bit_model_27,10.625,25380,25409.5,35.48342152,17.95150879,107.9088328
wellbore_chev_no_10_847,wellbore_chev_no_10,area_0,formation_235,bit_model_27,10.625,25410,25439.5,34.70793047,17.17059054,120.2062069
wellbore_chev_no_10_848,wellbore_chev_no_10,area_0,formation_235,bit_model_27,10.625,25440,25469.5,37.36604335,23.36338083,106.8529409
wellbore_chev_no_10_849,wellbore_chev_no_10,area_0,formation_235,bit_model_27,10.625,25470,25482,45.02582092,24.44132816,139.9480002
wellbore_chev_no_10_869,wellbore_chev_no_10,area_0,formation_235,bit_model_15,10.625,26095.5,26099.5,37.93177414,11.01429615,80.06800079
wellbore_chev_no_10_870,wellbore_chev_no_10,area_0,formation_235,bit_model_15,10.625,26100,26129.5,40.68842897,25.3531614,106.0353335
wellbore_chev_no_10_871,wellbore_chev_no_10,area_0,formation_235,bit_model_15,10.625,26130,26159.5,35.90509238,16.53270153,132.7158922
wellbore_chev_no_10_872,wellbore_chev_no_10,area_0,formation_235,bit_model_15,10.625,26160,26189.5,48.91784881,14.79414004,122.7305086
wellbore_chev_no_10_873,wellbore_chev_no_10,area_0,formation_90,bit_model_15,10.625,26190,26219.5,33.73161939,15.55140885,114.1674998
wellbore_chev_no_10_874,wellbore_chev_no_10,area_0,formation_90,bit_model_15,10.625,26220,26249.5,34.24217005,12.88675531,109.9393332
wellbore_chev_no_10_875,wellbore_chev_no_10,area_0,formation_89,bit_model_15,10.625,26250,26279.5,30.85358025,19.77105697,102.0290003
wellbore_chev_no_10_876,wellbore_chev_no_10,area_0,formation_89,bit_model_15,10.625,26280,26309.5,29.94112654,21.4656772,109.1796664
wellbore_chev_no_10_877,wellbore_chev_no_10,area_0,formation_89,bit_model_15,10.625,26310,26339.5,35.2401461,26.7464831,110.7176668
wellbore_chev_no_10_878,wellbore_chev_no_10,area_0,formation_92,bit_model_15,10.625,26340,26369.5,37.51068872,33.95927286,133.8896674
wellbore_chev_no_10_879,wellbore_chev_no_10,area_0,formation_92,bit_model_15,10.625,26370,26399.5,36.8432711,38.74954923,150.4163338
wellbore_chev_no_10_880,wellbore_chev_no_10,area_0,formation_92,bit_model_15,10.625,26400,26429.5,53.47278004,30.64425565,148.5551671
wellbore_chev_no_10_881,wellbore_chev_no_10,area_0,formation_94,bit_model_15,10.625,26430,26459.5,48.19903485,30.59538695,150.8658333
wellbore_chev_no_10_882,wellbore_chev_no_10,area_0,formation_94,bit_model_15,10.625,26460,26489.5,46.60039635,37.61012793,151.0544993
wellbore_chev_no_10_883,wellbore_chev_no_10,area_0,formation_94,bit_model_15,10.625,26490,26519.5,34.48871527,42.95119387,151.0568347
wellbore_chev_no_10_884,wellbore_chev_no_10,area_0,formation_94,bit_model_15,10.625,26520,26549.5,40.01297537,39.06811816,151.0763329
wellbore_chev_no_10_885,wellbore_chev_no_10,area_0,formation_94,bit_model_15,10.625,26550,26579.5,48.88166307,34.92526528,151.0333336
wellbore_chev_no_10_886,wellbore_chev_no_10,area_0,formation_94,bit_model_15,10.625,26580,26609.5,38.42883304,33.31001085,138.4498329
wellbore_chev_no_10_887,wellbore_chev_no_10,area_0,formation_94,bit_model_15,10.625,26610,26639.5,37.60099923,32.56337922,133.6171659
wellbore_chev_no_10_888,wellbore_chev_no_10,area_0,formation_94,bit_model_15,10.625,26640,26669.5,41.19858227,39.0284344,150.5985016
wellbore_chev_no_10_889,wellbore_chev_no_10,area_0,formation_94,bit_model_15,10.625,26670,26699.5,39.28043289,25.17973105,135.3300001
wellbore_chev_no_10_890,wellbore_chev_no_10,area_0,formation_94,bit_model_15,10.625,26700,26729.5,44.52811419,25.95539145,127.8701665
wellbore_chev_no_10_891,wellbore_chev_no_10,area_0,formation_94,bit_model_15,10.625,26730,26759.5,33.87216492,28.66229979,120.5781667
wellbore_chev_no_10_892,wellbore_chev_no_10,area_0,formation_94,bit_model_15,10.625,26760,26789.5,40.24841506,24.30780325,120.5968338
